id: 0, height: 330, width: 1093, bbox:[69, 464, 312, 175],
id: 1, height: 782, width: 439, bbox:[359, 292, 83, 199],
id: 3, height: 645, width: 831, bbox:[297, 312, 267, 167],
id: 34, height: 943, width: 608, bbox:[275, 112, 319, 290],
id: 20, height: 593, width: 857, bbox:[71, 368, 146, 147],
id: 61, height: 587, width: 745, bbox:[177, 463, 68, 302],
id: 16, height: 430, width: 405, bbox:[78, 295, 54, 237],
id: 41, height: 513, width: 1179, bbox:[105, 497, 379, 321],
id: 75, height: 638, width: 842, bbox:[192, 142, 398, 248],
id: 12, height: 746, width: 877, bbox:[345, 441, 370, 181],
id: 5, height: 346, width: 463, bbox:[114, 179, 64, 107],
id: 17, height: 847, width: 821, bbox:[294, 182, 271, 349],
id: 0, height: 645, width: 326, bbox:[242, 12, 96, 346],
id: 60, height: 721, width: 590, bbox:[250, 462, 54, 343],
id: 39, height: 663, width: 663, bbox:[180, 256, 343, 386],
id: 42, height: 1001, width: 663, bbox:[398, 73, 248, 342],
id: 61, height: 469, width: 725, bbox:[221, 99, 282, 109],
id: 75, height: 815, width: 808, bbox:[376, 231, 368, 142],
id: 54, height: 865, width: 1034, bbox:[258, 400, 237, 322],
id: 70, height: 840, width: 730, bbox:[478, 469, 133, 153],
id: 66, height: 728, width: 581, bbox:[98, 247, 134, 314],
id: 14, height: 763, width: 715, bbox:[297, 108, 300, 368],
id: 28, height: 612, width: 770, bbox:[2, 214, 388, 223],
id: 10, height: 575, width: 885, bbox:[192, 467, 84, 277],
id: 64, height: 1002, width: 395, bbox:[494, 177, 169, 135],
id: 12, height: 738, width: 862, bbox:[93, 340, 248, 268],
id: 40, height: 220, width: 265, bbox:[13, 31, 104, 113],
id: 16, height: 1106, width: 458, bbox:[465, 1, 345, 335],
id: 38, height: 885, width: 704, bbox:[226, 345, 80, 269],
id: 15, height: 585, width: 1115, bbox:[27, 425, 308, 275],
id: 42, height: 802, width: 410, bbox:[438, 277, 88, 262],
id: 35, height: 787, width: 951, bbox:[250, 343, 301, 299],
id: 15, height: 739, width: 461, bbox:[147, 157, 159, 202],
id: 6, height: 960, width: 889, bbox:[420, 326, 206, 399],
id: 17, height: 612, width: 349, bbox:[136, 26, 169, 150],
id: 12, height: 461, width: 835, bbox:[7, 370, 279, 215],
id: 51, height: 544, width: 557, bbox:[219, 128, 244, 213],
id: 46, height: 698, width: 750, bbox:[349, 183, 260, 63],
id: 8, height: 754, width: 712, bbox:[65, 272, 126, 326],
id: 71, height: 856, width: 781, bbox:[456, 406, 252, 131],
id: 32, height: 731, width: 754, bbox:[273, 141, 217, 58],
id: 74, height: 646, width: 797, bbox:[169, 338, 186, 338],
id: 76, height: 692, width: 886, bbox:[272, 481, 229, 78],
id: 45, height: 392, width: 931, bbox:[37, 431, 352, 118],
id: 65, height: 861, width: 582, bbox:[475, 179, 240, 287],
id: 78, height: 932, width: 921, bbox:[323, 460, 136, 261],
id: 54, height: 1100, width: 483, bbox:[346, 4, 150, 394],
id: 20, height: 752, width: 830, bbox:[287, 465, 254, 299],
id: 1, height: 704, width: 877, bbox:[10, 254, 225, 376],
id: 43, height: 448, width: 716, bbox:[57, 262, 346, 288],
id: 64, height: 759, width: 652, bbox:[462, 269, 251, 66],
id: 32, height: 888, width: 517, bbox:[429, 7, 232, 237],
id: 56, height: 350, width: 616, bbox:[137, 237, 322, 83],
id: 67, height: 1084, width: 538, bbox:[440, 279, 161, 284],
id: 57, height: 646, width: 893, bbox:[108, 403, 292, 229],
id: 4, height: 636, width: 762, bbox:[56, 415, 296, 182],
id: 75, height: 626, width: 1026, bbox:[273, 449, 310, 139],
id: 11, height: 937, width: 1051, bbox:[470, 419, 392, 279],
id: 34, height: 707, width: 366, bbox:[433, 115, 126, 152],
id: 28, height: 570, width: 578, bbox:[174, 203, 302, 165],
id: 31, height: 882, width: 427, bbox:[437, 127, 71, 161],
id: 2, height: 474, width: 472, bbox:[146, 32, 381, 123],
id: 3, height: 816, width: 860, bbox:[111, 180, 361, 369],
id: 70, height: 815, width: 743, bbox:[200, 323, 108, 252],
id: 8, height: 905, width: 728, bbox:[428, 303, 339, 161],
id: 64, height: 283, width: 604, bbox:[32, 7, 302, 78],
id: 17, height: 600, width: 817, bbox:[30, 270, 235, 383],
id: 58, height: 449, width: 395, bbox:[229, 77, 261, 44],
id: 32, height: 519, width: 773, bbox:[307, 185, 227, 127],
id: 8, height: 708, width: 668, bbox:[231, 428, 115, 390],
id: 13, height: 714, width: 432, bbox:[83, 236, 137, 277],
id: 69, height: 680, width: 1094, bbox:[434, 422, 300, 145],
id: 34, height: 844, width: 1059, bbox:[344, 330, 390, 280],
id: 0, height: 496, width: 768, bbox:[106, 174, 366, 47],
id: 18, height: 659, width: 574, bbox:[256, 102, 197, 101],
id: 60, height: 903, width: 630, bbox:[491, 75, 397, 62],
id: 49, height: 661, width: 578, bbox:[277, 234, 131, 329],
id: 30, height: 761, width: 829, bbox:[260, 397, 344, 168],
id: 58, height: 902, width: 749, bbox:[284, 161, 344, 374],
id: 42, height: 684, width: 967, bbox:[290, 462, 386, 132],
id: 16, height: 911, width: 860, bbox:[413, 433, 186, 218],
id: 36, height: 1146, width: 806, bbox:[492, 138, 359, 296],
id: 6, height: 461, width: 497, bbox:[10, 19, 83, 278],
id: 76, height: 833, width: 593, bbox:[423, 194, 318, 148],
id: 33, height: 880, width: 1071, bbox:[268, 341, 368, 247],
